evento_id,falha,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_injetado
lacuna_01,lacuna,1255,1266,2023-10-15 17:10:00,2023-10-15 19:00:00,12,
lacuna_02,lacuna,1507,1515,2023-10-17 11:10:00,2023-10-17 12:30:00,9,
lacuna_03,lacuna,2824,2831,2023-10-26 14:40:00,2023-10-26 15:50:00,8,
lacuna_04,lacuna,4442,4453,2023-11-06 20:20:00,2023-11-06 22:10:00,12,
lacuna_05,lacuna,4476,4487,2023-11-07 02:00:00,2023-11-07 03:50:00,12,
