falha_detectada,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_constante
stuck,230,260,2023-10-08 14:20:00,2023-10-08 19:20:00,31,30.184615384615384
stuck,1606,1636,2023-10-18 03:40:00,2023-10-18 08:40:00,31,26.2
stuck,2322,2345,2023-10-23 03:00:00,2023-10-23 06:50:00,24,22.2
stuck,3084,3131,2023-10-28 10:00:00,2023-10-28 17:50:00,48,30.0
stuck,3207,3231,2023-10-29 06:30:00,2023-10-29 10:30:00,25,30.406408174555978
stuck,3462,3485,2023-10-31 01:00:00,2023-10-31 04:50:00,24,28.852190956056624
stuck,3553,3586,2023-10-31 16:10:00,2023-10-31 21:40:00,34,16.096251278965166
