falha_detectada,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_constante,classificacao,indice_preexistente,variavel,falha_avaliada
stuck,3084,3131,2023-10-28 10:00:00,2023-10-28 17:50:00,48,30.0,compativel_com_preexistente,0,Temperatura,stuck
stuck,3462,3485,2023-10-31 01:00:00,2023-10-31 04:50:00,24,28.852190956056624,compativel_com_preexistente,1,Temperatura,stuck
