evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 13:40:00,47.0
lacuna_001,lacuna,2024-01-08 13:50:00,2024-01-08 19:20:00,34.0
lacuna_002,lacuna,2024-01-08 01:30:00,2024-01-08 05:50:00,27.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
