Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,23,35,12,248,31,626,40,0.9248677248677248,0.8888888888888888,0.8611111111111112,0.8747795414462081,0.9069634703196348
10,23,30,7,124,15,312,22,0.9217758985200846,0.8920863309352518,0.8493150684931506,0.8701754385964913,0.9017217544300615
15,22,33,11,80,14,205,16,0.9047619047619048,0.851063829787234,0.8333333333333334,0.8421052631578947,0.884703196347032
20,23,25,2,53,4,156,24,0.8818565400843882,0.9298245614035088,0.6883116883116883,0.7910447761194029,0.8316558441558441
25,22,25,3,43,4,126,16,0.8941798941798942,0.9148936170212766,0.7288135593220338,0.8113207547169812,0.8490221642764015
30,21,29,8,39,10,101,8,0.8860759493670886,0.7959183673469388,0.8297872340425532,0.8125,0.8698485719762316
