variavel,rodada,cenario,base,falha,quantidade_eventos
Umidade,1,com_erro,teste,lacuna,24
Umidade,1,com_erro,teste,oscilacao,23
Umidade,1,com_erro,teste,queda,23
Umidade,1,com_erro,treino,lacuna,25
Umidade,1,com_erro,treino,oscilacao,29
Umidade,1,com_erro,treino,queda,22
Umidade,1,sem_erro,treino,lacuna,26
Umidade,1,sem_erro,treino,oscilacao,30
Umidade,1,sem_erro,treino,queda,23
Umidade,2,com_erro,teste,lacuna,31
Umidade,2,com_erro,teste,oscilacao,25
Umidade,2,com_erro,teste,queda,26
Umidade,2,com_erro,treino,lacuna,26
Umidade,2,com_erro,treino,oscilacao,25
Umidade,2,com_erro,treino,queda,22
Umidade,2,sem_erro,treino,lacuna,27
Umidade,2,sem_erro,treino,oscilacao,26
Umidade,2,sem_erro,treino,queda,23
Umidade,3,com_erro,teste,lacuna,21
Umidade,3,com_erro,teste,oscilacao,27
Umidade,3,com_erro,teste,queda,27
Umidade,3,com_erro,treino,lacuna,28
Umidade,3,com_erro,treino,oscilacao,20
Umidade,3,com_erro,treino,queda,28
Umidade,3,sem_erro,treino,lacuna,29
Umidade,3,sem_erro,treino,oscilacao,21
Umidade,3,sem_erro,treino,queda,29
Umidade,4,com_erro,teste,lacuna,22
Umidade,4,com_erro,teste,oscilacao,22
Umidade,4,com_erro,teste,queda,30
Umidade,4,com_erro,treino,lacuna,27
Umidade,4,com_erro,treino,oscilacao,30
Umidade,4,com_erro,treino,queda,26
Umidade,4,sem_erro,treino,lacuna,28
Umidade,4,sem_erro,treino,oscilacao,31
Umidade,4,sem_erro,treino,queda,27
Umidade,5,com_erro,teste,lacuna,29
Umidade,5,com_erro,teste,oscilacao,28
Umidade,5,com_erro,teste,queda,26
Umidade,5,com_erro,treino,lacuna,30
Umidade,5,com_erro,treino,oscilacao,21
Umidade,5,com_erro,treino,queda,30
Umidade,5,sem_erro,treino,lacuna,31
Umidade,5,sem_erro,treino,oscilacao,22
Umidade,5,sem_erro,treino,queda,31
