iter	Passed	Remaining
0	8	3302
1	16	3198
2	23	3127
3	31	3075
4	38	3044
5	46	3029
6	54	3039
7	61	3031
8	70	3060
9	78	3046
10	85	3039
11	93	3031
12	101	3022
13	109	3011
14	117	3020
15	125	3015
16	133	3011
17	141	3004
18	149	2994
19	157	2983
20	164	2974
21	173	2980
22	179	2944
23	185	2909
24	191	2876
25	197	2847
26	204	2828
27	212	2823
28	221	2828
29	228	2820
30	236	2815
31	245	2818
32	252	2813
33	260	2805
34	268	2797
35	276	2791
36	284	2789
37	290	2768
38	296	2748
39	303	2728
40	309	2707
41	315	2688
42	322	2674
43	328	2656
44	331	2614
45	337	2596
46	343	2578
47	349	2561
48	355	2544
49	361	2530
50	367	2513
51	373	2500
52	379	2487
53	386	2475
54	393	2465
55	398	2450
56	405	2437
57	410	2422
58	416	2408
59	422	2396
60	428	2381
61	434	2368
62	440	2354
63	446	2342
64	452	2330
65	458	2318
66	464	2306
67	470	2294
68	475	2281
69	481	2269
70	487	2257
71	492	2245
72	498	2234
73	505	2225
74	511	2214
75	517	2205
76	523	2196
77	529	2186
78	535	2175
79	541	2166
80	547	2156
81	553	2146
82	559	2136
83	565	2127
84	571	2117
85	577	2108
86	583	2099
87	589	2090
88	595	2081
89	601	2072
90	607	2063
91	613	2054
92	620	2048
93	627	2041
94	632	2032
95	639	2024
96	645	2017
97	651	2008
98	657	2000
99	663	1991
100	670	1984
101	676	1976
102	682	1968
103	689	1961
104	696	1956
105	704	1952
106	711	1948
107	720	1947
108	728	1943
109	736	1941
110	744	1937
111	752	1934
112	759	1929
113	767	1924
114	774	1920
115	780	1912
116	786	1902
117	793	1895
118	798	1886
119	804	1877
120	810	1868
121	816	1860
122	822	1852
123	828	1843
124	834	1835
125	839	1826
126	845	1818
127	851	1809
128	857	1801
129	863	1794
130	869	1786
131	876	1779
132	882	1771
133	889	1766
134	897	1761
135	904	1756
136	912	1752
137	921	1749
138	929	1745
139	938	1742
140	949	1743
141	960	1744
142	967	1739
143	973	1730
144	979	1722
145	985	1714
146	991	1705
147	996	1697
148	1002	1688
149	1008	1680
150	1014	1672
151	1020	1665
152	1026	1657
153	1032	1648
154	1038	1640
155	1043	1632
156	1050	1625
157	1056	1617
158	1062	1609
159	1068	1602
160	1074	1594
161	1079	1586
162	1085	1578
163	1091	1570
164	1097	1563
165	1103	1555
166	1109	1547
167	1115	1540
168	1122	1533
169	1128	1526
170	1134	1519
171	1140	1512
172	1146	1504
173	1152	1496
174	1158	1489
175	1164	1481
176	1170	1474
177	1176	1466
178	1182	1459
179	1188	1452
180	1194	1445
181	1201	1439
182	1208	1433
183	1216	1427
184	1223	1422
185	1231	1416
186	1238	1410
187	1245	1404
188	1253	1399
189	1260	1392
190	1267	1386
191	1275	1381
192	1281	1374
193	1287	1367
194	1293	1360
195	1299	1352
196	1305	1345
197	1313	1339
198	1321	1334
199	1329	1329
200	1337	1324
201	1346	1319
202	1356	1315
203	1367	1314
204	1378	1311
205	1387	1306
206	1393	1299
207	1399	1291
208	1405	1284
209	1411	1276
210	1417	1269
211	1423	1262
212	1429	1255
213	1435	1248
214	1442	1241
215	1448	1234
216	1454	1226
217	1460	1219
218	1466	1212
219	1473	1205
220	1479	1198
221	1485	1191
222	1492	1184
223	1498	1177
224	1504	1170
225	1511	1163
226	1517	1156
227	1524	1150
228	1531	1143
229	1540	1138
230	1546	1131
231	1553	1124
232	1559	1117
233	1565	1110
234	1572	1104
235	1578	1097
236	1584	1089
237	1591	1083
238	1603	1080
239	1610	1073
240	1616	1066
241	1623	1060
242	1630	1053
243	1636	1046
244	1642	1039
245	1648	1032
246	1654	1025
247	1660	1017
248	1667	1011
249	1673	1004
250	1679	997
251	1686	990
252	1694	984
253	1702	978
254	1711	973
255	1719	967
256	1726	960
257	1735	954
258	1742	948
259	1749	942
260	1757	936
261	1765	930
262	1772	923
263	1778	916
264	1784	909
265	1790	901
266	1796	894
267	1802	887
268	1808	880
269	1814	873
270	1821	866
271	1827	859
272	1833	852
273	1838	845
274	1845	838
275	1851	831
276	1857	824
277	1863	817
278	1869	810
279	1874	803
280	1880	796
281	1886	789
282	1892	782
283	1898	775
284	1904	768
285	1909	761
286	1915	754
287	1921	747
288	1928	740
289	1933	733
290	1939	726
291	1945	719
292	1952	712
293	1957	705
294	1963	698
295	1969	692
296	1976	685
297	1981	678
298	1987	671
299	1997	665
300	2003	658
301	2009	651
302	2014	645
303	2021	638
304	2027	631
305	2033	624
306	2039	617
307	2045	611
308	2051	604
309	2057	597
310	2065	591
311	2074	585
312	2082	578
313	2090	572
314	2099	566
315	2108	560
316	2118	554
317	2130	549
318	2139	543
319	2145	536
320	2150	529
321	2156	522
322	2162	515
323	2168	508
324	2174	501
325	2181	495
326	2188	488
327	2195	482
328	2202	475
329	2210	468
330	2217	462
331	2224	455
332	2231	449
333	2239	442
334	2246	435
335	2254	429
336	2260	422
337	2266	415
338	2272	408
339	2278	402
340	2284	395
341	2291	388
342	2298	381
343	2304	375
344	2309	368
345	2315	361
346	2321	354
347	2327	347
348	2333	341
349	2339	334
350	2345	327
351	2351	320
352	2357	313
353	2365	307
354	2375	301
355	2381	294
356	2387	287
357	2393	280
358	2399	273
359	2405	267
360	2410	260
361	2416	253
362	2423	247
363	2429	240
364	2435	233
365	2441	226
366	2447	220
367	2454	213
368	2461	206
369	2467	200
370	2473	193
371	2479	186
372	2485	179
373	2491	173
374	2497	166
375	2503	159
376	2510	153
377	2516	146
378	2523	139
379	2529	133
380	2535	126
381	2541	119
382	2547	113
383	2554	106
384	2560	99
385	2566	93
386	2572	86
387	2578	79
388	2584	73
389	2590	66
390	2597	59
391	2603	53
392	2609	46
393	2615	39
394	2621	33
395	2627	26
396	2632	19
397	2638	13
398	2645	6
399	2651	0
