Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,186,33,2004,37,0.9690265486725663,0.8493150684931506,0.8340807174887892,0.8416289592760181,0.9089402114689895
10,89,14,1004,23,0.9672566371681416,0.8640776699029126,0.7946428571428571,0.827906976744186,0.8904452006735897
15,56,12,667,20,0.9576158940397351,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.8595845283311371
20,41,6,504,14,0.9646017699115044,0.8723404255319149,0.7454545454545455,0.803921568627451,0.8668449197860963
25,34,9,395,12,0.9533333333333334,0.7906976744186046,0.7391304347826086,0.7640449438202247,0.8584266035299182
30,28,9,330,8,0.9546666666666667,0.7567567567567568,0.7777777777777778,0.7671232876712328,0.8756145526057031
35,15,4,284,17,0.934375,0.7894736842105263,0.46875,0.5882352941176471,0.7274305555555556
40,17,5,248,10,0.9464285714285714,0.7727272727272727,0.6296296296296297,0.6938775510204082,0.8049333918899136
45,14,9,216,11,0.92,0.6086956521739131,0.56,0.5833333333333334,0.76
50,16,9,195,5,0.9377777777777778,0.64,0.7619047619047619,0.6956521739130435,0.8588935574229692
55,14,6,179,6,0.9414634146341463,0.7,0.7,0.7,0.8337837837837838
60,11,3,164,7,0.9459459459459459,0.7857142857142857,0.6111111111111112,0.6875,0.7965735196274119
65,13,2,152,3,0.9705882352941176,0.8666666666666667,0.8125,0.8387096774193549,0.8997564935064934
70,10,3,139,8,0.93125,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.7672143974960877
75,10,4,129,7,0.9266666666666666,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.7790800530738611
80,10,4,122,4,0.9428571428571428,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8412698412698413
85,5,1,116,8,0.9307692307692308,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.688034188034188
90,8,6,108,3,0.928,0.5714285714285714,0.7272727272727273,0.64,0.8373205741626795
95,5,2,100,8,0.9130434782608695,0.7142857142857143,0.38461538461538464,0.5,0.6825037707390649
100,9,2,98,1,0.9727272727272728,0.8181818181818182,0.9,0.8571428571428571,0.94
