Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,185,0,2075,5,0.9977924944812362,1.0,0.9736842105263158,0.9866666666666667,0.986842105263158
10,89,0,1041,5,0.9955947136563876,1.0,0.9468085106382979,0.9726775956284153,0.9734042553191489
15,59,0,691,5,0.9933774834437086,1.0,0.921875,0.959349593495935,0.9609375
20,42,0,520,3,0.9946902654867257,1.0,0.9333333333333333,0.9655172413793104,0.9666666666666667
25,36,0,412,2,0.9955555555555555,1.0,0.9473684210526315,0.972972972972973,0.9736842105263157
30,32,0,341,2,0.9946666666666667,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
35,22,0,294,4,0.9875,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231
40,22,0,257,1,0.9964285714285714,1.0,0.9565217391304348,0.9777777777777777,0.9782608695652174
45,20,0,228,2,0.992,1.0,0.9090909090909091,0.9523809523809523,0.9545454545454546
50,21,0,202,2,0.9911111111111112,1.0,0.9130434782608695,0.9545454545454546,0.9565217391304348
55,14,0,189,2,0.9902439024390244,1.0,0.875,0.9333333333333333,0.9375
60,15,0,167,3,0.9837837837837838,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
65,11,0,163,1,0.9942857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
70,11,0,147,2,0.9875,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231
