Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,234,60,1955,16,0.9664459161147902,0.7959183673469388,0.936,0.8602941176470589,0.9531116625310174
10,117,26,978,9,0.9690265486725663,0.8181818181818182,0.9285714285714286,0.8698884758364313,0.9513375071143996
15,80,20,652,3,0.9695364238410596,0.8,0.963855421686747,0.8743169398907104,0.9670467584624212
20,56,14,488,7,0.9628318584070796,0.8,0.8888888888888888,0.8421052631578947,0.9305002213368747
25,48,11,388,3,0.9688888888888889,0.8135593220338984,0.9411764705882353,0.8727272727272727,0.9568037741412354
30,38,7,327,3,0.9733333333333334,0.8444444444444444,0.926829268292683,0.8837209302325582,0.9529355922301739
35,29,4,283,4,0.975,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9324252982789568
40,28,5,245,2,0.975,0.8484848484848485,0.9333333333333333,0.8888888888888888,0.9566666666666667
45,28,7,215,0,0.972,0.8,1.0,0.8888888888888888,0.9842342342342343
50,25,5,191,4,0.96,0.8333333333333334,0.8620689655172413,0.847457627118644,0.9182793807178043
55,21,2,181,1,0.9853658536585366,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.9718082463984103
60,17,3,163,2,0.972972972972973,0.85,0.8947368421052632,0.8717948717948718,0.9383322764743183
65,19,2,153,1,0.9828571428571429,0.9047619047619048,0.95,0.926829268292683,0.9685483870967742
70,13,3,141,3,0.9625,0.8125,0.8125,0.8125,0.8958333333333333
75,15,4,130,1,0.9666666666666667,0.7894736842105263,0.9375,0.8571428571428571,0.9538246268656716
80,10,0,129,1,0.9928571428571429,1.0,0.9090909090909091,0.9523809523809523,0.9545454545454546
85,10,2,115,3,0.9615384615384616,0.8333333333333334,0.7692307692307693,0.8,0.8760683760683761
90,11,2,109,3,0.96,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8838481338481339
