Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,121,1,2074,69,0.9690949227373068,0.9918032786885246,0.6368421052631579,0.7756410256410257,0.8181800887761572
10,55,2,1039,39,0.9638766519823788,0.9649122807017544,0.5851063829787234,0.7284768211920529,0.7915925766958939
15,28,3,688,36,0.9483443708609272,0.9032258064516129,0.4375,0.5894736842105263,0.7165792329956584
20,21,1,519,24,0.9557522123893806,0.9545454545454546,0.4666666666666667,0.6268656716417911,0.7323717948717949
25,11,1,411,27,0.9377777777777778,0.9166666666666666,0.2894736842105263,0.44,0.6435232498722534
30,13,2,339,21,0.9386666666666666,0.8666666666666667,0.38235294117647056,0.5306122448979592,0.6882439192685872
35,4,0,294,22,0.93125,1.0,0.15384615384615385,0.26666666666666666,0.5769230769230769
40,6,1,256,17,0.9357142857142857,0.8571428571428571,0.2608695652173913,0.4,0.6284892573168669
45,4,0,228,18,0.928,1.0,0.18181818181818182,0.3076923076923077,0.5909090909090909
50,5,2,200,18,0.9111111111111111,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.6037451571244081
55,2,0,189,14,0.9317073170731708,1.0,0.125,0.2222222222222222,0.5625
60,3,0,167,15,0.918918918918919,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334
65,0,0,163,12,0.9314285714285714,0.0,0.0,0.0,0.5
70,1,1,146,12,0.91875,0.5,0.07692307692307693,0.13333333333333333,0.5350601779173207
