Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,143,38,2064,20,0.97439293598234,0.7900552486187845,0.8773006134969326,0.8313953488372093,0.9296112962822436
10,72,18,1035,10,0.9753303964757709,0.8,0.8780487804878049,0.8372093023255814,0.9304773816968939
15,48,10,689,8,0.976158940397351,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.9214183527488249
20,40,9,515,1,0.9823008849557522,0.8163265306122449,0.975609756097561,0.8888888888888888,0.9792170917892384
25,31,3,413,3,0.9866666666666667,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9522765837104072
30,23,2,347,3,0.9866666666666667,0.92,0.8846153846153846,0.9019607843137255,0.9394423627947983
35,20,3,294,3,0.98125,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9297321036451471
40,20,3,256,1,0.9857142857142858,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9703989703989704
45,15,1,231,3,0.984,0.9375,0.8333333333333334,0.8823529411764706,0.9145114942528736
50,18,3,202,2,0.9777777777777777,0.8571428571428571,0.9,0.8780487804878049,0.9426829268292682
55,12,3,188,2,0.975609756097561,0.8,0.8571428571428571,0.8275862068965517,0.9207180254300673
60,12,2,170,1,0.9837837837837838,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9557245080500895
65,8,1,162,4,0.9714285714285714,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8302658486707566
70,9,0,148,3,0.98125,1.0,0.75,0.8571428571428571,0.875
