Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,134,0,2124,12,0.9947136563876652,1.0,0.9178082191780822,0.9571428571428572,0.9589041095890412
10,62,0,1063,10,0.9911894273127754,1.0,0.8611111111111112,0.9253731343283582,0.9305555555555556
15,39,0,706,10,0.9867549668874173,1.0,0.7959183673469388,0.8863636363636364,0.8979591836734694
20,28,0,531,6,0.9893805309734514,1.0,0.8235294117647058,0.9032258064516129,0.9117647058823529
25,21,0,428,6,0.9868131868131869,1.0,0.7777777777777778,0.875,0.8888888888888888
30,19,0,351,5,0.9866666666666667,1.0,0.7916666666666666,0.8837209302325582,0.8958333333333333
35,18,0,303,4,0.9876923076923076,1.0,0.8181818181818182,0.9,0.9090909090909092
40,11,0,266,3,0.9892857142857143,1.0,0.7857142857142857,0.88,0.8928571428571428
45,12,0,234,4,0.984,1.0,0.75,0.8571428571428571,0.875
50,11,0,211,3,0.9866666666666667,1.0,0.7857142857142857,0.88,0.8928571428571428
