teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos,variavel,rodada,cenario
com_erro,catboost,lacuna,20,5,5,947,947,267,680,292,655,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984733,655,0,0,292,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_lacuna_jan20_passo5_eventos.png,Umidade,2,com_erro
com_erro,catboost,oscilacao,100,95,95,49,49,28,21,25,24,9,9,0,0.8367346938775511,0.8333333333333333,0.7575757575757576,1.0,0.8620689655172413,0.6666666666388888,16,8,0,25,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_oscilacao_jan100_passo95_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_oscilacao_jan100_passo95_eventos.png,Umidade,2,com_erro
com_erro,catboost,queda,100,65,65,72,72,31,41,40,32,11,12,1,0.75,0.765625,0.8928571428571429,0.625,0.7352941176470589,0.9062499999716798,29,3,15,25,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_queda_jan100_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_catboost_queda_jan100_passo65_eventos.png,Umidade,2,com_erro
com_erro,mlp,lacuna,20,5,5,947,947,267,680,292,655,21,22,1,0.9788806758183738,0.9667023946460316,0.9963503649635036,0.934931506849315,0.9646643109540636,0.9984732824412237,654,1,19,273,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_lacuna_jan20_passo5_eventos.png,Umidade,2,com_erro
com_erro,mlp,oscilacao,80,60,60,78,78,45,33,38,40,9,10,1,0.8974358974358975,0.9,0.8260869565217391,1.0,0.9047619047619048,0.79999999998,32,8,0,38,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_oscilacao_jan80_passo60_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_oscilacao_jan80_passo60_eventos.png,Umidade,2,com_erro
com_erro,mlp,queda,60,35,35,135,135,43,92,55,80,17,17,0,0.5111111111111111,0.5789772727272727,0.45217391304347826,0.9454545454545454,0.611764705882353,0.21249999999734373,17,63,3,52,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_queda_jan60_passo35_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_mlp_queda_jan60_passo35_eventos.png,Umidade,2,com_erro
com_erro,random_forest,lacuna,20,5,5,947,947,267,680,292,655,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984733,655,0,0,292,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_lacuna_jan20_passo5_eventos.png,Umidade,2,com_erro
com_erro,random_forest,oscilacao,90,80,80,59,59,34,25,31,28,9,9,0,0.7457627118644068,0.7355990783410138,0.6904761904761905,0.9354838709677419,0.7945205479452054,0.5357142856951531,15,13,2,29,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_oscilacao_jan90_passo80_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_oscilacao_jan90_passo80_eventos.png,Umidade,2,com_erro
com_erro,random_forest,queda,100,90,90,52,52,24,28,28,24,9,10,1,0.6153846153846154,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6666666666388888,16,8,12,16,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_queda_jan100_passo90_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_random_forest_queda_jan100_passo90_eventos.png,Umidade,2,com_erro
com_erro,xgboost,lacuna,20,5,5,947,947,267,680,292,655,21,21,0,1.0,1.0,1.0,1.0,1.0,0.9999999999984733,655,0,0,292,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\Umidade\rodada_2\com_erro\Umidade_20231007_0000_to_20231109_0000_rodada_2_com_erro_xgboost_lacuna_jan20_passo5_eventos.png,Umidade,2,com_erro
