evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:10:00,62.0
lacuna_001,lacuna,2024-01-08 01:10:00,2024-01-08 05:50:00,29.0
queda_001,queda,2024-01-08 16:20:00,2024-01-08 21:30:00,32.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
