inicio_idx,fim_idx,inicio,fim,duracao_pts,falha_detectada,valor_constante
1041,1051,2023-10-14 05:30:00,2023-10-14 07:10:00,11,lacuna,
1436,1444,2023-10-16 23:20:00,2023-10-17 00:40:00,9,lacuna,
2459,2470,2023-10-24 01:50:00,2023-10-24 03:40:00,12,lacuna,
4019,4030,2023-11-03 21:50:00,2023-11-03 23:40:00,12,lacuna,
4668,4673,2023-11-08 10:00:00,2023-11-08 10:50:00,6,lacuna,
