evento_id,falha,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_injetado
stuck_01,stuck,240,275,2023-10-08 16:00:00,2023-10-08 21:50:00,36,2.5833333333333335
stuck_02,stuck,353,380,2023-10-09 10:50:00,2023-10-09 15:20:00,28,3.0
stuck_03,stuck,771,794,2023-10-12 08:30:00,2023-10-12 12:20:00,24,2.0
stuck_04,stuck,2452,2483,2023-10-24 00:40:00,2023-10-24 05:50:00,32,5.0
stuck_05,stuck,3047,3076,2023-10-28 03:50:00,2023-10-28 08:40:00,30,46.34941687846149
