teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos,rodada,cenario
sem_erro,catboost,lacuna,20,5,5,947,947,276,671,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_lacuna_jan20_passo5_eventos.png,1,sem_erro
sem_erro,catboost,oscilacao,60,55,55,86,86,51,35,0,86,0,6,6,0.5813953488372093,0.5813953488372093,0.0,0.0,0.0,0.5813953488304489,50,36,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan60_passo55_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_oscilacao_jan60_passo55_eventos.png,1,sem_erro
sem_erro,catboost,queda,80,80,80,59,59,28,31,0,59,0,4,4,0.847457627118644,0.847457627118644,0.0,0.0,0.0,0.8474576271042804,50,9,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan80_passo80_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_catboost_queda_jan80_passo80_eventos.png,1,sem_erro
sem_erro,mlp,lacuna,20,10,10,474,474,137,337,0,474,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999978904,474,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan20_passo10_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_lacuna_jan20_passo10_eventos.png,1,sem_erro
sem_erro,mlp,oscilacao,60,55,55,86,86,51,35,0,86,0,9,9,0.7441860465116279,0.7441860465116279,0.0,0.0,0.0,0.7441860465029746,64,22,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan60_passo55_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_oscilacao_jan60_passo55_eventos.png,1,sem_erro
sem_erro,mlp,queda,70,65,65,73,73,32,41,0,73,0,4,4,0.8356164383561644,0.8356164383561644,0.0,0.0,0.0,0.8356164383447175,61,12,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan70_passo65_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_mlp_queda_jan70_passo65_eventos.png,1,sem_erro
sem_erro,random_forest,lacuna,20,5,5,947,947,276,671,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png,1,sem_erro
sem_erro,random_forest,oscilacao,20,20,20,237,237,103,134,0,237,0,15,15,0.8607594936708861,0.8607594936708861,0.0,0.0,0.0,0.8607594936672542,204,33,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_oscilacao_jan20_passo20_eventos.png,1,sem_erro
sem_erro,random_forest,queda,80,80,80,59,59,28,31,0,59,0,4,4,0.847457627118644,0.847457627118644,0.0,0.0,0.0,0.8474576271042804,50,9,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan80_passo80_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_random_forest_queda_jan80_passo80_eventos.png,1,sem_erro
sem_erro,xgboost,lacuna,20,5,5,947,947,276,671,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\resultados\rodada_1\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_1_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png,1,sem_erro
