cenario,modelo,falha,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,eventos_reais_teste,eventos_detectados,diferenca_eventos,fp,fn,tp,tn
com_erro,catboost,lacuna,1.0,1.0,1.0,1.0,1.0,0.9999999999985253,21.2,21.2,0.0,0.0,0.0,268.4,678.6
com_erro,catboost,oscilacao,0.8316284779050737,0.7979298878707306,0.8057651868740985,0.9568461992278847,0.8719576908372627,0.6390135764905253,9.0,9.0,0.0,8.8,2.4,41.8,18.8
com_erro,catboost,queda,0.9077222777222778,0.907512173206326,0.8924012463814176,0.9200452803901079,0.9059543881961712,0.8949790659881147,11.0,11.0,0.0,2.8,2.0,24.4,23.4
com_erro,mlp,lacuna,0.984703911135685,0.9792533811717684,0.993103448275862,0.9690330781330104,0.9806951925657948,0.9894736841980583,18.0,18.0,0.0,0.2,8.2,195.0,324.2
com_erro,mlp,oscilacao,0.8485943359091757,0.8121402245761828,0.8346186184007802,0.9460941746425618,0.8850674118554703,0.6781862744783748,8.4,9.0,0.6,6.6,1.8,30.6,16.4
com_erro,mlp,queda,0.9284511054322848,0.9222601213147211,0.9266460824816989,0.8911680143755616,0.9079472155071683,0.9533522282326394,13.4,14.8,1.4,3.6,4.6,36.8,75.8
com_erro,random_forest,lacuna,1.0,1.0,1.0,1.0,1.0,0.9999999999985253,21.2,21.2,0.0,0.0,0.0,268.4,678.6
com_erro,random_forest,oscilacao,0.7961161387631976,0.7568272391435796,0.7744562256852988,0.9358440207708194,0.8456847285499149,0.5778104574996387,9.4,10.2,0.8,15.2,3.2,52.2,20.6
com_erro,random_forest,queda,0.87783459483084,0.8782416972134364,0.8512788604541182,0.9143365931980731,0.8797259447310164,0.8421468012109559,12.2,12.4,0.2,6.4,4.6,46.6,52.2
com_erro,xgboost,lacuna,1.0,1.0,1.0,1.0,1.0,0.9999999999985253,21.2,21.2,0.0,0.0,0.0,268.4,678.6
com_erro,xgboost,oscilacao,0.8495861733203505,0.8273659693983515,0.8219166580238276,0.9547293045835422,0.8815835797682455,0.7000026341891474,10.0,10.4,0.4,10.4,2.0,43.4,22.4
com_erro,xgboost,queda,0.9259412903480699,0.9300008596427132,0.8820685400040238,0.9704661558109834,0.9230491250963244,0.8895355634468121,11.6,11.6,0.0,3.4,0.8,26.6,29.6
sem_erro,catboost,lacuna,1.0,1.0,0.0,0.0,0.0,0.9999999999989442,0.0,0.0,0.0,0.0,0.0,0.0,947.0
sem_erro,catboost,oscilacao,0.8905406731429693,0.8905406731429693,0.0,0.0,0.0,0.8905406731389632,0.0,4.8,4.8,14.8,0.0,0.0,239.4
sem_erro,catboost,queda,0.8947949279668407,0.8947949279668407,0.0,0.0,0.0,0.8947949279508794,0.0,2.6,2.6,5.8,0.0,0.0,50.6
sem_erro,mlp,lacuna,1.0,1.0,0.0,0.0,0.0,0.9999999999987332,0.0,0.0,0.0,0.0,0.0,0.0,852.4
sem_erro,mlp,oscilacao,0.8503867488547279,0.8503867488547279,0.0,0.0,0.0,0.8503867488455358,0.0,6.8,6.8,14.2,0.0,0.0,97.6
sem_erro,mlp,queda,0.8774817896092516,0.8774817896092516,0.0,0.0,0.0,0.8774817895954982,0.0,3.2,3.2,7.8,0.0,0.0,58.8
sem_erro,random_forest,lacuna,1.0,1.0,0.0,0.0,0.0,0.9999999999989442,0.0,0.0,0.0,0.0,0.0,0.0,947.0
sem_erro,random_forest,oscilacao,0.945539481615431,0.945539481615431,0.0,0.0,0.0,0.9455394816122634,0.0,6.0,6.0,15.4,0.0,0.0,322.6
sem_erro,random_forest,queda,0.8750944938838401,0.8750944938838401,0.0,0.0,0.0,0.8750944938678549,0.0,2.8,2.8,6.6,0.0,0.0,48.4
sem_erro,xgboost,lacuna,1.0,1.0,0.0,0.0,0.0,0.9999999999989442,0.0,0.0,0.0,0.0,0.0,0.0,947.0
sem_erro,xgboost,oscilacao,0.8392996367766612,0.8392996367766612,0.0,0.0,0.0,0.8392996367724432,0.0,9.0,9.0,21.2,0.0,0.0,205.0
sem_erro,xgboost,queda,0.8804555371198299,0.8804555371198299,0.0,0.0,0.0,0.8804555371051542,0.0,3.0,3.0,7.6,0.0,0.0,54.6
