evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 16:40:00,65.0
lacuna_001,lacuna,2024-01-08 01:50:00,2024-01-08 05:50:00,25.0
queda_001,queda,2024-01-08 16:50:00,2024-01-08 22:00:00,32.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
