Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,132,29,2002,102,0.9421633554083885,0.8198757763975155,0.5641025641025641,0.6683544303797468,0.7749119418247926
10,71,10,1004,45,0.9513274336283186,0.8765432098765432,0.6120689655172413,0.7208121827411168,0.8011035162891926
15,41,1,677,36,0.9509933774834437,0.9761904761904762,0.5324675324675324,0.6890756302521008,0.7654963031069226
20,25,1,508,31,0.9433628318584071,0.9615384615384616,0.44642857142857145,0.6097560975609756,0.7222319674431659
25,18,4,398,30,0.9244444444444444,0.8181818181818182,0.375,0.5142857142857142,0.6825248756218906
30,14,1,333,27,0.9253333333333333,0.9333333333333333,0.34146341463414637,0.5,0.6692347013290493
35,12,1,285,22,0.928125,0.9230769230769231,0.35294117647058826,0.5106382978723404,0.6747223364870424
40,6,5,250,19,0.9142857142857143,0.5454545454545454,0.24,0.3333333333333333,0.6101960784313725
45,6,0,223,21,0.916,1.0,0.2222222222222222,0.36363636363636365,0.6111111111111112
50,6,5,196,18,0.8977777777777778,0.5454545454545454,0.25,0.34285714285714286,0.6125621890547264
55,10,1,181,13,0.9317073170731708,0.9090909090909091,0.43478260869565216,0.5882352941176471,0.7146440516005733
60,4,0,166,15,0.918918918918919,1.0,0.21052631578947367,0.34782608695652173,0.6052631578947368
65,6,2,158,9,0.9371428571428572,0.75,0.4,0.5217391304347826,0.6937500000000001
70,5,0,143,12,0.925,1.0,0.29411764705882354,0.45454545454545453,0.6470588235294118
75,6,3,131,10,0.9133333333333333,0.6666666666666666,0.375,0.48,0.6763059701492538
80,4,0,129,7,0.95,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819
85,3,0,118,9,0.9307692307692308,1.0,0.25,0.4,0.625
90,4,0,109,12,0.904,1.0,0.25,0.4,0.625
