Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,206,95,1960,4,0.9562913907284768,0.6843853820598007,0.9809523809523809,0.8062622309197651,0.9673618352450468
10,103,45,984,3,0.9577092511013215,0.6959459459459459,0.9716981132075472,0.8110236220472441,0.9639831673909456
15,67,18,666,4,0.9708609271523179,0.788235294117647,0.9436619718309859,0.8589743589743589,0.9586730911786508
20,49,13,499,4,0.9699115044247788,0.7903225806451613,0.9245283018867925,0.8521739130434782,0.9495688384433962
25,41,11,398,0,0.9755555555555555,0.7884615384615384,1.0,0.8817204301075269,0.9865525672371638
30,31,13,328,3,0.9573333333333334,0.7045454545454546,0.9117647058823529,0.7948717948717948,0.9368207693634638
35,28,8,283,1,0.971875,0.7777777777777778,0.9655172413793104,0.8615384615384616,0.9690129162223012
40,28,8,243,1,0.9678571428571429,0.7777777777777778,0.9655172413793104,0.8615384615384616,0.9668223657095756
45,22,7,219,2,0.964,0.7586206896551724,0.9166666666666666,0.8301886792452831,0.9428466076696165
50,18,2,203,2,0.9822222222222222,0.9,0.9,0.9,0.9451219512195121
55,18,9,177,1,0.9512195121951219,0.6666666666666666,0.9473684210526315,0.782608695652174,0.949490662139219
60,12,7,164,2,0.9513513513513514,0.631578947368421,0.8571428571428571,0.7272727272727273,0.9081035923141185
65,15,7,151,2,0.9485714285714286,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9190245718540581
70,14,7,139,0,0.95625,0.6666666666666666,1.0,0.8,0.976027397260274
