Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,162,35,2065,8,0.981057268722467,0.8223350253807107,0.9529411764705882,0.8828337874659401,0.9681372549019607
10,80,9,1040,6,0.986784140969163,0.898876404494382,0.9302325581395349,0.9142857142857143,0.9608264792604252
15,51,11,688,5,0.9788079470198675,0.8225806451612904,0.9107142857142857,0.864406779661017,0.9474887594522787
20,37,5,517,6,0.9805309734513274,0.8809523809523809,0.8604651162790697,0.8705882352941177,0.9254432861088835
25,31,4,414,6,0.978021978021978,0.8857142857142857,0.8378378378378378,0.8611111111111112,0.9141342299237036
30,24,6,343,2,0.9786666666666667,0.8,0.9230769230769231,0.8571428571428571,0.9529424729997796
35,18,1,300,6,0.9784615384615385,0.9473684210526315,0.75,0.8372093023255814,0.8733388704318936
40,18,0,260,2,0.9928571428571429,1.0,0.9,0.9473684210526315,0.95
45,18,4,227,1,0.98,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9650262018683071
50,16,0,206,3,0.9866666666666667,1.0,0.8421052631578947,0.9142857142857143,0.9210526315789473
