Deslocamento,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,141,0,2124,5,0.9977973568281938,1.0,0.9657534246575342,0.9825783972125436,0.9828767123287672
10,67,0,1063,5,0.9955947136563876,1.0,0.9305555555555556,0.9640287769784173,0.9652777777777778
15,44,0,706,5,0.9933774834437086,1.0,0.8979591836734694,0.946236559139785,0.9489795918367347
20,31,0,531,3,0.9946902654867257,1.0,0.9117647058823529,0.9538461538461539,0.9558823529411764
25,25,0,428,2,0.9956043956043956,1.0,0.9259259259259259,0.9615384615384616,0.962962962962963
30,22,0,351,2,0.9946666666666667,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333
35,20,0,303,2,0.9938461538461538,1.0,0.9090909090909091,0.9523809523809523,0.9545454545454546
40,11,0,266,3,0.9892857142857143,1.0,0.7857142857142857,0.88,0.8928571428571428
45,15,0,234,1,0.996,1.0,0.9375,0.967741935483871,0.96875
50,12,0,211,2,0.9911111111111112,1.0,0.8571428571428571,0.9230769230769231,0.9285714285714286
