evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 14:20:00,51
lacuna_001,lacuna,2024-01-08 14:30:00,2024-01-08 22:10:00,47
lacuna_002,lacuna,2024-01-08 01:20:00,2024-01-08 05:50:00,28
