inicio_idx,fim_idx,inicio,fim,duracao_pts,falha_detectada,valor_constante
236,247,2023-10-08 15:20:00,2023-10-08 17:10:00,12,lacuna,
338,349,2023-10-09 08:20:00,2023-10-09 10:10:00,12,lacuna,
1138,1146,2023-10-14 21:40:00,2023-10-14 23:00:00,9,lacuna,
2057,2065,2023-10-21 06:50:00,2023-10-21 08:10:00,9,lacuna,
3458,3463,2023-10-31 00:20:00,2023-10-31 01:10:00,6,lacuna,
