Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,0,51,51,0,99,846,0,0.8952380952380953,0.0,0.0,0.0,0.8952380952380953
10,0,36,36,0,56,417,0,0.8816067653276956,0.0,0.0,0.0,0.8816067653276956
15,0,22,22,0,30,285,0,0.9047619047619048,0.0,0.0,0.0,0.9047619047619048
20,0,24,24,0,41,196,0,0.8270042194092827,0.0,0.0,0.0,0.8270042194092827
25,0,14,14,0,19,170,0,0.8994708994708994,0.0,0.0,0.0,0.8994708994708994
30,0,18,18,0,28,130,0,0.8227848101265823,0.0,0.0,0.0,0.8227848101265823
