modelo,accuracy,macro_f1,weighted_f1
RF,0.7559523809523808,0.4696350524475525,0.6828996524309024
MLP,0.6309523809523809,0.3151641269178582,0.5752455411503918
XGB,0.5833333333333333,0.2967955802535212,0.5688125949567825
CAT,0.7053571428571429,0.36341007914663526,0.6621488237503479
