modelo,classe,precision,recall,f1,support
RF,lacuna,1.0,0.5879120879120879,0.740484429065744,182
RF,normal,0.8906403940886699,0.9826086956521739,0.9343669250645995,5520
RF,oscilacao,0.8488120950323974,0.8656387665198237,0.8571428571428571,454
RF,queda,1.0,0.8130081300813008,0.8968609865470852,123
RF,stuck,0.8405797101449275,0.3841059602649007,0.5272727272727272,604
RF,stuck_at_zero,0.8015267175572519,0.620384047267356,0.6994171523730225,677
MLP,lacuna,0.9322033898305084,0.6043956043956044,0.7333333333333333,182
MLP,normal,0.898578698017196,0.9277173913043478,0.9129155896247437,5520
MLP,oscilacao,0.9088888888888889,0.9008810572687225,0.9048672566371682,454
MLP,queda,0.967741935483871,0.7317073170731707,0.8333333333333334,123
MLP,stuck,0.36425648021828105,0.4420529801324503,0.3994016454749439,604
MLP,stuck_at_zero,0.7109207708779444,0.49039881831610044,0.5804195804195804,677
XGB,lacuna,1.0,0.7252747252747253,0.8407643312101911,182
XGB,normal,0.9042164674634794,0.9867753623188406,0.9436936936936937,5520
XGB,oscilacao,0.8849557522123894,0.8810572687224669,0.8830022075055187,454
XGB,queda,0.9818181818181818,0.8780487804878049,0.927038626609442,123
XGB,stuck,0.8314176245210728,0.35927152317880795,0.5017341040462427,604
XGB,stuck_at_zero,0.8450946643717728,0.725258493353028,0.78060413354531,677
CAT,lacuna,1.0,0.5879120879120879,0.740484429065744,182
CAT,normal,0.9102478231748158,0.9847826086956522,0.9460494256874348,5520
CAT,oscilacao,0.8492871690427699,0.9185022026431718,0.8825396825396825,454
CAT,queda,1.0,0.6910569105691057,0.8173076923076923,123
CAT,stuck,0.8136094674556213,0.4552980132450331,0.583864118895966,604
CAT,stuck_at_zero,0.8148148148148148,0.6824224519940916,0.7427652733118971,677
