falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
lacuna,20,5,5,2733,97,2636,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995438,2192,0,0,83
lacuna,20,15,15,911,31,880,5,1.0,1.0,1.0,1.0,1.0,0.9999999999986283,729,0,0,26
lacuna,30,5,5,2731,125,2606,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995387,2168,0,0,107
lacuna,40,5,5,2729,153,2576,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995325,2139,0,0,131
lacuna,40,25,25,546,33,513,5,1.0,1.0,1.0,1.0,1.0,0.9999999999976635,428,0,0,27
lacuna,50,5,5,2727,181,2546,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995272,2115,0,0,155
lacuna,50,15,15,909,59,850,5,1.0,1.0,1.0,1.0,1.0,0.9999999999985816,705,0,0,50
lacuna,50,40,40,341,14,327,5,1.0,1.0,1.0,1.0,1.0,0.9999999999962687,268,0,0,12
lacuna,50,45,45,303,20,283,5,1.0,1.0,1.0,1.0,1.0,0.9999999999957265,234,0,0,16
lacuna,50,50,50,273,14,259,5,1.0,1.0,1.0,1.0,1.0,0.9999999999953052,213,0,0,12
lacuna,60,5,5,2725,209,2516,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995217,2091,0,0,179
lacuna,60,40,40,341,28,313,5,1.0,1.0,1.0,1.0,1.0,0.9999999999960938,256,0,0,24
lacuna,70,5,5,2723,237,2486,5,1.0,1.0,1.0,1.0,1.0,0.999999999999515,2062,0,0,203
lacuna,70,40,40,341,28,313,5,1.0,1.0,1.0,1.0,1.0,0.9999999999960938,256,0,0,24
lacuna,70,50,50,273,28,245,5,1.0,1.0,1.0,1.0,1.0,0.999999999995025,201,0,0,24
lacuna,70,55,55,248,21,227,5,1.0,1.0,1.0,1.0,1.0,0.9999999999946525,187,0,0,18
lacuna,80,5,5,2721,265,2456,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995093,2038,0,0,227
lacuna,80,15,15,907,87,820,5,1.0,1.0,1.0,1.0,1.0,0.9999999999985316,681,0,0,74
lacuna,80,35,35,389,39,350,5,1.0,1.0,1.0,1.0,1.0,0.9999999999965157,287,0,0,33
lacuna,90,5,5,2719,293,2426,5,1.0,1.0,1.0,1.0,1.0,0.9999999999995035,2014,0,0,251
lacuna,90,25,25,544,61,483,5,1.0,1.0,1.0,1.0,1.0,0.9999999999974938,399,0,0,51
lacuna,90,40,40,340,28,312,5,1.0,1.0,1.0,1.0,1.0,0.9999999999960938,256,0,0,24
lacuna,90,50,50,272,28,244,5,1.0,1.0,1.0,1.0,1.0,0.999999999995025,201,0,0,24
lacuna,90,80,80,170,14,156,5,1.0,1.0,1.0,1.0,1.0,0.9999999999921876,128,0,0,12
lacuna,100,5,5,2717,321,2396,5,1.0,1.0,1.0,1.0,1.0,0.9999999999994962,1985,0,0,275
lacuna,100,40,40,340,42,298,5,1.0,1.0,1.0,1.0,1.0,0.9999999999959017,244,0,0,36
lacuna,100,50,50,272,28,244,5,1.0,1.0,1.0,1.0,1.0,0.999999999995025,201,0,0,24
lacuna,100,55,55,247,29,218,5,1.0,1.0,1.0,1.0,1.0,0.9999999999944752,181,0,0,24
lacuna,100,65,65,209,24,185,5,1.0,1.0,1.0,1.0,1.0,0.9999999999933334,150,0,0,20
lacuna,100,80,80,170,21,149,5,1.0,1.0,1.0,1.0,1.0,0.9999999999918698,123,0,0,17
lacuna,100,90,90,151,17,134,5,1.0,1.0,1.0,1.0,1.0,0.9999999999910714,112,0,0,13
lacuna,100,100,100,136,14,122,5,1.0,1.0,1.0,1.0,1.0,0.9999999999897958,98,0,0,12
lacuna,100,15,15,906,108,798,5,0.9986754966887417,0.9945652173913043,1.0,0.9891304347826086,0.994535519125683,0.9999999999984918,663,0,1,91
lacuna,70,15,15,908,80,828,5,0.9986754966887417,0.9926470588235294,1.0,0.9852941176470589,0.9925925925925926,0.9999999999985444,687,0,1,67
lacuna,100,10,10,1359,155,1204,5,0.9973451327433628,0.9887218045112782,1.0,0.9774436090225563,0.9885931558935361,0.999999999998997,997,0,3,130
lacuna,40,15,15,910,52,858,5,0.9986754966887417,0.9886363636363636,1.0,0.9772727272727273,0.9885057471264368,0.9999999999985936,711,0,1,43
lacuna,100,30,30,453,52,401,5,0.9973333333333333,0.9886363636363636,1.0,0.9772727272727273,0.9885057471264368,0.9999999999969789,331,0,1,43
lacuna,90,15,15,907,98,809,5,0.9973509933774835,0.9880952380952381,1.0,0.9761904761904762,0.9879518072289156,0.9999999999985097,671,0,2,82
lacuna,90,10,10,1360,141,1219,5,0.9973451327433628,0.9876033057851239,1.0,0.9752066115702479,0.9874476987447699,0.9999999999990089,1009,0,3,118
lacuna,80,10,10,1361,127,1234,5,0.9973451327433628,0.9862385321100917,1.0,0.9724770642201835,0.986046511627907,0.9999999999990206,1021,0,3,106
lacuna,70,10,10,1362,113,1249,5,0.9973568281938326,0.9845360824742269,1.0,0.9690721649484536,0.9842931937172775,0.9999999999990367,1038,0,3,94
lacuna,70,30,30,454,38,416,5,0.9973333333333333,0.984375,1.0,0.96875,0.9841269841269841,0.9999999999970846,343,0,1,31
lacuna,60,15,15,909,70,839,5,0.9973509933774835,0.9833333333333334,1.0,0.9666666666666667,0.9830508474576272,0.9999999999985612,695,0,2,58
lacuna,60,10,10,1363,99,1264,5,0.9973568281938326,0.9823529411764707,1.0,0.9647058823529412,0.9820359281437125,0.9999999999990477,1050,0,3,82
lacuna,80,40,40,341,29,312,5,0.9964285714285714,0.98,1.0,0.96,0.9795918367346939,0.9999999999960785,255,0,1,24
lacuna,80,50,50,273,29,244,5,0.9955555555555555,0.98,1.0,0.96,0.9795918367346939,0.999999999995,200,0,1,24
lacuna,50,10,10,1364,85,1279,5,0.9973568281938326,0.9794520547945205,1.0,0.958904109589041,0.9790209790209791,0.9999999999990584,1062,0,3,70
lacuna,100,20,20,680,85,595,5,0.9946902654867257,0.9794520547945205,1.0,0.958904109589041,0.9790209790209791,0.9999999999979675,492,0,3,70
lacuna,90,55,55,248,28,220,5,0.9951219512195122,0.9791666666666667,1.0,0.9583333333333334,0.9787234042553191,0.9999999999944752,181,0,1,23
lacuna,100,60,60,227,28,199,5,0.9945945945945946,0.9791666666666667,1.0,0.9583333333333334,0.9787234042553191,0.9999999999937889,161,0,1,23
lacuna,50,35,35,390,27,363,5,0.9969230769230769,0.9782608695652174,1.0,0.9565217391304348,0.9777777777777777,0.9999999999966888,302,0,1,22
lacuna,90,30,30,454,49,405,5,0.9946666666666667,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.9999999999969971,333,0,2,40
lacuna,40,10,10,1365,71,1294,5,0.9973568281938326,0.9754098360655737,1.0,0.9508196721311475,0.9747899159663865,0.9999999999990689,1074,0,3,58
lacuna,80,20,20,681,71,610,5,0.9946902654867257,0.9754098360655737,1.0,0.9508196721311475,0.9747899159663865,0.9999999999980159,504,0,3,58
lacuna,40,30,30,455,24,431,5,0.9973333333333333,0.975,1.0,0.95,0.9743589743589743,0.9999999999971831,355,0,1,19
lacuna,30,15,15,911,42,869,5,0.9973509933774835,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999986092,719,0,2,34
lacuna,40,35,35,390,21,369,5,0.9969230769230769,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999967427,307,0,1,17
lacuna,80,30,30,454,42,412,5,0.9946666666666667,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999970501,339,0,2,34
lacuna,90,35,35,389,42,347,5,0.99375,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999964789,284,0,2,34
lacuna,90,65,65,210,21,189,5,0.9942857142857143,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9999999999936307,157,0,1,17
lacuna,100,25,25,544,62,482,5,0.9933333333333333,0.9711538461538461,1.0,0.9423076923076923,0.9702970297029703,0.9999999999974875,398,0,3,49
lacuna,60,55,55,248,20,228,5,0.9951219512195122,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.9999999999946809,188,0,1,16
lacuna,90,70,70,195,20,175,5,0.99375,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.999999999993007,143,0,1,16
lacuna,30,10,10,1366,57,1309,5,0.9973568281938326,0.9693877551020409,1.0,0.9387755102040817,0.968421052631579,0.9999999999990792,1086,0,3,46
lacuna,60,20,20,682,57,625,5,0.9946902654867257,0.9693877551020409,1.0,0.9387755102040817,0.968421052631579,0.999999999998062,516,0,3,46
lacuna,80,65,65,210,19,191,5,0.9942857142857143,0.96875,1.0,0.9375,0.967741935483871,0.9999999999937108,159,0,1,15
lacuna,100,75,75,182,19,163,5,0.9933333333333333,0.96875,1.0,0.9375,0.967741935483871,0.9999999999925374,134,0,1,15
lacuna,80,25,25,545,55,490,5,0.9933333333333333,0.9680851063829787,1.0,0.9361702127659575,0.967032967032967,0.9999999999975187,403,0,3,44
lacuna,60,30,30,455,35,420,5,0.9946666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999971014,345,0,2,28
lacuna,70,65,65,210,18,192,5,0.9942857142857143,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999937501,160,0,1,14
lacuna,80,70,70,195,18,177,5,0.99375,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999931035,145,0,1,14
lacuna,90,75,75,182,18,164,5,0.9933333333333333,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999925927,135,0,1,14
lacuna,100,45,45,302,36,266,5,0.992,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999954546,220,0,2,28
lacuna,100,85,85,160,18,142,5,0.9923076923076923,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,0.9999999999913043,115,0,1,14
lacuna,80,75,75,182,17,165,5,0.9933333333333333,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,0.9999999999926471,136,0,1,13
lacuna,90,85,85,160,17,143,5,0.9923076923076923,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,0.9999999999913792,116,0,1,13
