falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp,path_cm
lacuna,10,1,1,13383,343,13040,5,1.0,1.0,1.0,1.0,1.0,10855,0,0,295,resultados\MP25_1_20231006_0000_to_20240107_0000_lacuna_jan10_passo1_cm.png
oscilacao,100,1,1,13293,2184,11109,5,0.9883521444695259,0.9814584432466631,0.9602543720190779,0.9710610932475884,0.9656274980015987,9134,75,54,1812,resultados\MP25_1_20231006_0000_to_20240107_0000_oscilacao_jan100_passo1_cm.png
queda,80,n/3,26,513,50,463,5,0.9905882352941177,0.9746480553567167,0.9545454545454546,0.9545454545454546,0.9545454545454546,379,2,2,42,resultados\MP25_1_20231006_0000_to_20240107_0000_queda_jan80_passo26_cm.png
stuck,90,1,1,13303,2738,10565,5,0.8356337392873252,0.6762307636339481,0.6960711638250556,0.39940450871969374,0.5075675675675676,8324,410,1412,939,resultados\MP25_1_20231006_0000_to_20240107_0000_stuck_jan90_passo1_cm.png
stuck_at_zero,100,1,1,13293,3474,9819,5,0.837020316027088,0.8171077509946181,0.656923531148509,0.7758019525801952,0.7114308553157475,7045,1162,643,2225,resultados\MP25_1_20231006_0000_to_20240107_0000_stuck_at_zero_jan100_passo1_cm.png
