modelo,accuracy,macro_f1,weighted_f1
RF,0.8830687830687831,0.757296491687103,0.8662492085790408
MLP,0.8371693121693122,0.7201767277041627,0.8324830402263561
XGB,0.898809523809524,0.8069352807867723,0.8833257868828517
CAT,0.8970899470899472,0.7701004454198902,0.8833557082469067
