modelo,accuracy,macro_f1,weighted_f1
RF,0.7710526315789473,0.3972180134680135,0.7183514974304448
MLP,0.6868421052631579,0.32516340126333637,0.663109597977797
XGB,0.6631578947368421,0.31503072196620585,0.6507054145628
CAT,0.7842105263157895,0.470908354519685,0.739954930917748
