variavel,cenario,modelo,falha,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_pos_mean,precision_pos_std,recall_pos_mean,recall_pos_std,f1_pos_mean,f1_pos_std,specificity_mean,specificity_std,eventos_reais_teste_mean,eventos_reais_teste_std,eventos_detectados_mean,eventos_detectados_std,diferenca_eventos_mean,diferenca_eventos_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,tn_mean,tn_std
Umidade,com_erro,catboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985512,9.085957995448201e-14,20.0,3.9999999999999996,20.0,3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,254.6,43.47182995918161,692.4,43.47182995918161
Umidade,com_erro,catboost,oscilacao,0.8074387595794054,0.08689532349243088,0.79707942114933,0.10153739198081586,0.7847755890692626,0.09453539369790073,0.9061959919102776,0.13847462064230442,0.8315144625489452,0.0699390614074666,0.6879628503664523,0.2138038391784658,9.6,3.286335345030997,10.0,3.0,0.4,0.894427190999916,10.2,7.886697661252142,4.4,6.6932802122726045,32.8,7.886697661252142,23.2,11.755849607748475
Umidade,com_erro,catboost,queda,0.6902316123592719,0.11142150902381162,0.6938011073049106,0.11364165635051846,0.7121706026584075,0.17147942172785782,0.6698329448329449,0.14059346109803952,0.6826333355290604,0.13434123827786962,0.7177692697524726,0.16436114707574295,10.2,1.4832396974191324,11.2,1.7888543819998317,1.0,1.0,7.8,3.898717737923586,10.0,4.183300132670378,21.6,9.607288899580361,21.4,7.368853370776216
Umidade,com_erro,mlp,lacuna,0.9700899553726966,0.017848876397146,0.9610923663566681,0.010541881315671107,0.9870117430873119,0.01391203028270437,0.9371160732806899,0.02048468606905732,0.9612121267858669,0.008183237494461001,0.9850686594213505,0.01923401799323688,16.2,2.774887385102322,16.2,3.420526275297414,0.0,0.7071067811865476,1.0,0.7071067811865476,9.8,6.760177512462229,137.0,94.87360012142472,365.0,332.705575546909
Umidade,com_erro,mlp,oscilacao,0.8222840554199061,0.08267869215142352,0.8139089643300169,0.08973164132219741,0.8065587326456892,0.11022030613795614,0.908943469785575,0.06965285494398255,0.8491944804540086,0.0582893102527548,0.7188744588475517,0.1880212718009317,8.6,0.8944271909999161,9.6,1.140175425099138,1.0,0.7071067811865476,7.0,3.872983346207417,2.8,2.2803508501982757,28.8,6.534523701081817,20.6,10.21273714534943
Umidade,com_erro,mlp,queda,0.554138930474275,0.08351898925801671,0.5701250445208623,0.07155841047669992,0.534533144973312,0.09070326472134611,0.7203103892615993,0.1520298842660663,0.6017212963984844,0.06486350907254033,0.419939699766558,0.2002314128480034,12.4,3.7815340802378077,12.6,3.646916505762094,0.2,0.4472135954999579,26.8,21.810547906918796,8.6,3.5071355833500366,27.6,16.10279478848315,15.4,6.6558245169174945
Umidade,com_erro,random_forest,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985512,9.085957995448201e-14,20.0,3.9999999999999996,20.0,3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,254.6,43.47182995918161,692.4,43.47182995918161
Umidade,com_erro,random_forest,oscilacao,0.7467704578571976,0.04457963272677106,0.739019432235118,0.044664350852452114,0.7376130886657203,0.0653287368826502,0.8610487687844882,0.14173179073373549,0.7854512840973806,0.04788138243425573,0.6169900956625065,0.12796520814606271,9.0,1.5811388300841898,9.4,1.140175425099138,0.4,0.5477225575051661,10.8,4.8166378315169185,5.2,5.403702434442518,28.6,5.856620185738529,16.8,3.420526275297414
Umidade,com_erro,random_forest,queda,0.6388659970261973,0.054382704079091175,0.629640268736502,0.04508164411143045,0.6539783893380807,0.07287021242882252,0.6573786462200489,0.15059698592663537,0.6465362302970789,0.08971305771466713,0.6019018912338877,0.15166582513979932,10.8,1.6431676725154984,12.0,2.449489742783178,1.2,2.280350850198276,12.4,4.560701700396551,12.2,5.805170109479997,24.2,11.903780911962384,20.4,10.737783756436894
Umidade,com_erro,xgboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985512,9.085957995448201e-14,20.0,3.9999999999999996,20.0,3.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,254.6,43.47182995918161,692.4,43.47182995918161
