variavel,cenario,modelo,falha,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_pos_mean,precision_pos_std,recall_pos_mean,recall_pos_std,f1_pos_mean,f1_pos_std,specificity_mean,specificity_std,eventos_reais_teste_mean,eventos_reais_teste_std,eventos_detectados_mean,eventos_detectados_std,diferenca_eventos_mean,diferenca_eventos_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,tn_mean,tn_std
MP10_1,com_erro,catboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999999999998541,6.858741386967079e-14,20.6,2.880972058177586,20.6,2.880972058177586,0.0,0.0,0.0,0.0,0.0,0.0,260.4,32.8831263720468,686.6,32.88312637204679
MP10_1,com_erro,catboost,oscilacao,0.9044254993445213,0.021257129649351825,0.8939005029790078,0.029091088180427622,0.8962828072828073,0.02530308636594214,0.9481971595655807,0.020165411387999783,0.9212673992673992,0.01611079625720812,0.839603846366398,0.04786148215228501,11.4,0.894427190999916,11.8,1.4832396974191326,0.4,0.894427190999916,5.4,2.073644135332772,2.6,1.3416407864998738,46.2,12.537942414925983,27.8,5.215361924162119
MP10_1,com_erro,catboost,queda,0.9659947905683512,0.021446338264216977,0.9668987456650289,0.021102880420980987,0.9659584718408247,0.03591133097721515,0.9667900726724256,0.03457291084000184,0.9657239838316889,0.021734850377683166,0.9670074186287587,0.03485388768705137,11.4,1.8165902124584947,11.4,1.8165902124584947,0.0,0.0,1.4,1.51657508881031,1.2,1.3038404810405297,34.4,8.648699324175862,34.8,9.705668446840743
MP10_1,com_erro,mlp,lacuna,0.985369571363254,0.009913217368355324,0.9788109328058481,0.009037924168651313,0.9941176470588236,0.013153341044116418,0.9636824716723021,0.01573894361615843,0.9785555602149734,0.009106425421034965,0.9939393939300117,0.013551927147544086,17.8,3.7013511046643495,17.8,3.7013511046643495,0.0,0.0,0.2,0.4472135954999579,5.0,5.338539126015656,126.6,114.04955063480084,339.0,325.25605297980235
MP10_1,com_erro,mlp,oscilacao,0.942717428543793,0.0250027739631311,0.9435652844055642,0.02387594600793062,0.9451372657793442,0.03668584564677338,0.9424566621311916,0.046986992626862595,0.942913356006968,0.02807937099774382,0.9446739066513675,0.01934649318374074,13.4,3.5777087639996634,13.6,3.9115214431215892,0.2,0.4472135954999579,2.8,2.9495762407505253,2.4,1.9493588689617927,41.4,11.545561917897285,41.8,27.71642112539063
MP10_1,com_erro,mlp,queda,0.9045739997978803,0.03263579625065885,0.9070327300200065,0.03158778560764325,0.9261015561015562,0.08038239365362576,0.8819680817628595,0.052051349647629815,0.9005695333789268,0.03635950969175194,0.9320973782510477,0.08222952847038958,12.2,2.3874672772626644,12.2,2.3874672772626644,0.0,0.0,2.8,3.1144823004794873,5.4,4.159326868617084,35.8,9.47100839404126,40.8,25.113741258522197
MP10_1,com_erro,random_forest,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999969201,2.9313910981231493e-12,19.8,2.949576240750525,19.8,2.949576240750525,0.0,0.0,0.0,0.0,0.0,0.0,187.8,88.26210965074425,513.0,268.5935591186058
MP10_1,com_erro,random_forest,oscilacao,0.9193480596276743,0.014722183080098348,0.9051042578318267,0.025985961082007146,0.9293265063116813,0.03950704389781424,0.9180695847362514,0.07410471936910581,0.9210122620021639,0.025459576093287296,0.8921389309053037,0.09091865032658343,13.8,5.890670590009257,14.0,5.612486080160912,0.2,0.4472135954999579,3.8,1.6431676725154984,6.2,6.648308055437865,55.2,22.286767374386084,61.6,58.148946680056035
MP10_1,com_erro,random_forest,queda,0.917498916017405,0.058142600594534,0.9139340341962059,0.06402264754946219,0.9235263491435262,0.07418458566955867,0.9255932125689753,0.03532816364477488,0.9234318334574473,0.04644409190711235,0.9022748558059586,0.11145739849528122,13.4,2.1908902300206647,13.4,2.1908902300206647,0.0,0.0,10.2,15.61089363233252,6.0,4.949747468305833,81.0,72.58443359288546,81.8,74.05200875060716
MP10_1,com_erro,xgboost,lacuna,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999999999998541,6.858741386967079e-14,20.6,2.880972058177586,20.6,2.880972058177586,0.0,0.0,0.0,0.0,0.0,0.0,260.4,32.8831263720468,686.6,32.88312637204679
