Datetime,Temperatura,Data,Hora,Num,Umidade,"MP2,5_1",MP10_1,"MP2,5_2",MP10_2,Extra
2023-10-30 00:00:00,25.0,30/10/2023,00:00:00,1,50.0,9.038692141826285,19.141970849452857,14.96425195028794,26.54470769491425,0.4262209874262036
2023-10-30 00:10:00,25.658598336491714,30/10/2023,00:10:00,2,50.46183458645739,9.174931763770351,19.40888198255135,14.387099602691416,26.603783835852724,0.2750420253664253
2023-10-30 00:20:00,26.314336886585814,30/10/2023,00:20:00,3,50.92268359463302,9.924766730075543,19.47945214999824,15.244408672213488,25.629348405150196,0.3826398504093419
2023-10-30 00:30:00,26.964368281739077,30/10/2023,00:30:00,4,51.38156354951882,10.463048469979546,21.025417970158838,14.686042997564922,24.40745913025248,0.9945075963427411
2023-10-30 00:40:00,27.605869935195845,30/10/2023,00:40:00,5,51.8374951781657,9.159491100409012,19.80494152832886,14.649191133407992,26.582667126478587,0.7619495176820275
2023-10-30 00:50:00,28.236056298312956,30/10/2023,00:50:00,6,52.28950549950134,10.197273855098272,18.68029195979607,14.347835380071368,25.046514064797616,0.1501723090206989
2023-10-30 01:00:00,28.852190956056624,30/10/2023,01:00:00,7,52.73662990072083,9.21210371764673,19.271337511067404,14.668169202739424,25.859811880894593,0.6389289343322602
2023-10-30 01:10:00,29.451598509149807,30/10/2023,01:10:00,8,53.177914195819014,10.835365072259675,20.09129742601801,12.096495951482026,24.927118048374552,0.59175084703597
2023-10-30 01:20:00,30.03167619127504,30/10/2023,01:20:00,9,53.61241666187153,8.638255731308432,20.475149962175088,14.74422251244951,25.27846940956963,0.2185431043400088
2023-10-30 01:30:00,30.589905170888134,30/10/2023,01:30:00,10,54.03921004871895,10.701255815779588,22.906068126729107,15.64913336323589,25.274061528324424,0.8196350204513551
2023-10-30 01:40:00,31.12386148856771,30/10/2023,01:40:00,11,54.45738355776538,8.21678956024379,22.395375855845504,15.562607551764271,24.97482764623395,0.10469386232419775
2023-10-30 01:50:00,31.63122658240795,30/10/2023,01:50:00,12,54.866044785668564,10.923130391529261,19.805529393219683,14.215594891327058,25.844711875422295,0.9794813389825602
