evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 11:50:00,36.0
lacuna_001,lacuna,2024-01-08 12:00:00,2024-01-08 19:30:00,46.0
lacuna_002,lacuna,2024-01-08 01:00:00,2024-01-08 05:50:00,30.0
oscilacao_final,oscilacao,,,
lacuna_final,lacuna,,,
queda_final,queda,,,
