evento_id,falha,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_injetado,detectado,indice_deteccao_pos,variavel,falha_avaliada
stuck_at_zero_01,stuck_at_zero,426,452,2023-10-09 23:00:00,2023-10-10 03:20:00,27,0.0,True,0,Temperatura,stuck_at_zero
stuck_at_zero_02,stuck_at_zero,706,737,2023-10-11 21:40:00,2023-10-12 02:50:00,32,0.0,True,1,Temperatura,stuck_at_zero
stuck_at_zero_03,stuck_at_zero,789,814,2023-10-12 11:30:00,2023-10-12 15:40:00,26,0.0,True,2,Temperatura,stuck_at_zero
stuck_at_zero_04,stuck_at_zero,1492,1523,2023-10-17 08:40:00,2023-10-17 13:50:00,32,0.0,True,3,Temperatura,stuck_at_zero
stuck_at_zero_05,stuck_at_zero,3143,3174,2023-10-28 19:50:00,2023-10-29 01:00:00,32,0.0,True,4,Temperatura,stuck_at_zero
lacuna_01,lacuna,236,247,2023-10-08 15:20:00,2023-10-08 17:10:00,12,,True,0,Umidade,lacuna
lacuna_02,lacuna,338,349,2023-10-09 08:20:00,2023-10-09 10:10:00,12,,True,1,Umidade,lacuna
lacuna_03,lacuna,1138,1146,2023-10-14 21:40:00,2023-10-14 23:00:00,9,,True,2,Umidade,lacuna
lacuna_04,lacuna,2057,2065,2023-10-21 06:50:00,2023-10-21 08:10:00,9,,True,3,Umidade,lacuna
lacuna_05,lacuna,3458,3463,2023-10-31 00:20:00,2023-10-31 01:10:00,6,,True,4,Umidade,lacuna
stuck_01,stuck,629,658,2023-10-11 08:50:00,2023-10-11 13:40:00,30,93.69999999999999,True,0,Umidade,stuck
stuck_02,stuck,1639,1670,2023-10-18 09:10:00,2023-10-18 14:20:00,32,44.5,True,1,Umidade,stuck
stuck_03,stuck,2706,2737,2023-10-25 19:00:00,2023-10-26 00:10:00,32,91.1,True,2,Umidade,stuck
stuck_04,stuck,3495,3519,2023-10-31 06:30:00,2023-10-31 10:30:00,25,59.73438054360693,True,3,Umidade,stuck
stuck_05,stuck,4496,4521,2023-11-07 05:20:00,2023-11-07 09:30:00,26,75.3,True,4,Umidade,stuck
stuck_at_zero_01,stuck_at_zero,220,244,2023-10-08 12:40:00,2023-10-08 16:40:00,25,0.0,True,0,Umidade,stuck_at_zero
stuck_at_zero_02,stuck_at_zero,1113,1138,2023-10-14 17:30:00,2023-10-14 21:40:00,26,0.0,True,1,Umidade,stuck_at_zero
stuck_at_zero_03,stuck_at_zero,1478,1512,2023-10-17 06:20:00,2023-10-17 12:00:00,35,0.0,True,2,Umidade,stuck_at_zero
stuck_at_zero_04,stuck_at_zero,1690,1718,2023-10-18 17:40:00,2023-10-18 22:20:00,29,0.0,True,3,Umidade,stuck_at_zero
stuck_at_zero_05,stuck_at_zero,3221,3247,2023-10-29 08:50:00,2023-10-29 13:10:00,27,0.0,True,4,Umidade,stuck_at_zero
