evento_id,falha,inicio,fim,duracao_pts
oscilacao_001,oscilacao,2024-01-08 06:00:00,2024-01-08 17:20:00,69
lacuna_001,lacuna,2024-01-08 01:40:00,2024-01-08 05:50:00,26
queda_001,queda,2024-01-08 17:30:00,2024-01-08 20:50:00,21
