iter	F1	Logloss
0	0.9454545455	0.6500301206
1	1	0.6186203574
2	1	0.5878661485
3	1	0.5461711861
4	1	0.5061097691
5	1	0.4793019586
6	1	0.4542649352
7	1	0.4207571604
8	1	0.3965545286
9	1	0.3719202837
10	1	0.3486398071
11	1	0.3308172106
12	1	0.3128687516
13	1	0.2948628851
14	1	0.2783987184
15	1	0.2651128367
16	1	0.2528625548
17	1	0.2436952372
18	1	0.2354710384
19	1	0.2226291089
20	1	0.2063999879
21	1	0.2022270417
22	1	0.1949500771
23	1	0.1871025361
24	1	0.1804267614
25	1	0.1717964457
26	1	0.1650878296
27	1	0.1599044738
28	1	0.1557216422
29	1	0.1491854649
30	1	0.1423105525
31	1	0.1374754635
32	1	0.1337457256
33	1	0.1274888186
34	1	0.1239051797
35	1	0.1193093466
36	1	0.1161610202
37	1	0.111231519
38	1	0.1078462718
39	1	0.1048729274
40	1	0.102334369
41	1	0.09884636947
42	1	0.09568971433
43	1	0.09251955942
44	1	0.09003329816
45	1	0.08685040391
46	1	0.08507867549
47	1	0.0836027023
48	1	0.08087275373
49	1	0.07937506713
50	1	0.07778732306
51	1	0.0764382766
52	1	0.07488681107
53	1	0.07363859743
54	1	0.07233239932
55	1	0.07018366667
56	1	0.06862167476
57	1	0.06687235595
58	1	0.06586099531
59	1	0.06462681839
60	1	0.06294931681
61	1	0.061719474
62	1	0.06001645911
63	1	0.05886457768
64	1	0.05753237913
65	1	0.05615757706
66	1	0.05464470292
67	1	0.05364603106
68	1	0.05256480668
69	1	0.05146007038
70	1	0.05058897828
71	1	0.04962609671
72	1	0.04889422112
73	1	0.04801045738
74	1	0.04698558501
75	1	0.04621622262
76	1	0.04506677878
77	1	0.04412108763
78	1	0.04278247708
79	1	0.04202888767
80	1	0.04137606827
81	1	0.04067848767
82	1	0.04013289193
83	1	0.03932106012
84	1	0.0387188079
85	1	0.03810928266
86	1	0.03745961202
87	1	0.0365930162
88	1	0.0360671777
89	1	0.03527700459
90	1	0.03484654918
91	1	0.03423204499
92	1	0.03362203295
93	1	0.03323910368
94	1	0.03284656669
95	1	0.0323571269
96	1	0.03181501946
97	1	0.03118163512
98	1	0.03079048703
99	1	0.03033842943
100	1	0.02982192019
101	1	0.02929700183
102	1	0.02884180813
103	1	0.02853156054
104	1	0.02821289085
105	1	0.02772556567
106	1	0.02737187532
107	1	0.02700616392
108	1	0.02655455961
109	1	0.02617309837
110	1	0.02585288549
111	1	0.0255191131
112	1	0.02519901142
113	1	0.02483044619
114	1	0.02440416377
115	1	0.02396271843
116	1	0.02362647285
117	1	0.02334092697
118	1	0.02293450095
119	1	0.02262588881
