Deslocamento,Eventos_reais,Eventos_detectados,Diferenca_eventos,TP,FP,TN,FN,ACC,Precision,Recall,F1,Balanced_ACC
5,18,23,5,257,52,610,24,0.9194061505832449,0.8317152103559871,0.9145907473309609,0.8711864406779661,0.9180204491941814
10,18,21,3,126,24,305,17,0.913135593220339,0.84,0.8811188811188811,0.8600682593856656,0.9040852764257019
15,18,19,1,85,21,201,8,0.9079365079365079,0.8018867924528302,0.9139784946236559,0.8542713567839196,0.9096919500145306
20,17,18,1,64,12,153,7,0.9194915254237288,0.8421052631578947,0.9014084507042254,0.8707482993197279,0.9143405889884764
25,17,23,6,50,11,122,6,0.91005291005291,0.819672131147541,0.8928571428571429,0.8547008547008547,0.9050751879699248
30,17,18,1,41,9,102,6,0.9050632911392406,0.82,0.8723404255319149,0.845360824742268,0.8956296722254169
35,16,17,1,41,5,87,2,0.9481481481481482,0.8913043478260869,0.9534883720930233,0.9213483146067416,0.9495702730030333
40,16,19,3,33,11,71,3,0.8813559322033898,0.75,0.9166666666666666,0.825,0.891260162601626
