variavel,rodada,cenario,base,falha,quantidade_eventos
Temperatura,1,com_erro,teste,lacuna,25
Temperatura,1,com_erro,teste,oscilacao,26
Temperatura,1,com_erro,teste,queda,28
Temperatura,1,com_erro,treino,lacuna,25
Temperatura,1,com_erro,treino,oscilacao,21
Temperatura,1,com_erro,treino,queda,22
Temperatura,1,sem_erro,treino,lacuna,26
Temperatura,1,sem_erro,treino,oscilacao,22
Temperatura,1,sem_erro,treino,queda,23
Temperatura,2,com_erro,teste,lacuna,26
Temperatura,2,com_erro,teste,oscilacao,29
Temperatura,2,com_erro,teste,queda,23
Temperatura,2,com_erro,treino,lacuna,24
Temperatura,2,com_erro,treino,oscilacao,29
Temperatura,2,com_erro,treino,queda,26
Temperatura,2,sem_erro,treino,lacuna,25
Temperatura,2,sem_erro,treino,oscilacao,30
Temperatura,2,sem_erro,treino,queda,27
Temperatura,3,com_erro,teste,lacuna,31
Temperatura,3,com_erro,teste,oscilacao,23
Temperatura,3,com_erro,teste,queda,29
Temperatura,3,com_erro,treino,lacuna,24
Temperatura,3,com_erro,treino,oscilacao,25
Temperatura,3,com_erro,treino,queda,25
Temperatura,3,sem_erro,treino,lacuna,25
Temperatura,3,sem_erro,treino,oscilacao,26
Temperatura,3,sem_erro,treino,queda,26
Temperatura,4,com_erro,teste,lacuna,25
Temperatura,4,com_erro,teste,oscilacao,21
Temperatura,4,com_erro,teste,queda,22
Temperatura,4,com_erro,treino,lacuna,26
Temperatura,4,com_erro,treino,oscilacao,29
Temperatura,4,com_erro,treino,queda,25
Temperatura,4,sem_erro,treino,lacuna,27
Temperatura,4,sem_erro,treino,oscilacao,30
Temperatura,4,sem_erro,treino,queda,26
Temperatura,5,com_erro,teste,lacuna,26
Temperatura,5,com_erro,teste,oscilacao,21
Temperatura,5,com_erro,teste,queda,26
Temperatura,5,com_erro,treino,lacuna,27
Temperatura,5,com_erro,treino,oscilacao,29
Temperatura,5,com_erro,treino,queda,28
Temperatura,5,sem_erro,treino,lacuna,28
Temperatura,5,sem_erro,treino,oscilacao,30
Temperatura,5,sem_erro,treino,queda,29
