12/9/23;0:4:31;1132;23.4000;99.9000;2.0;3.0;2.7;10.1;
12/9/23;0:15:18;1133;23.3000;99.9000;2.0;3.0;2.8;10.6;
12/9/23;0:26:5;1134;22.7000;99.9000;2.0;3.0;1.2;2.6;
12/9/23;0:36:52;1135;22.3000;99.9000;3.0;4.0;0.7;1.3;
12/9/23;0:47:39;1136;22.4000;99.9000;2.0;3.0;0.9;1.9;
12/9/23;0:58:26;1137;22.6000;99.9000;2.0;3.0;2.5;4.8;
12/9/23;1:9:13;1138;22.6000;99.9000;1.0;2.0;1.4;3.4;
12/9/23;1:20:0;1139;22.6000;99.9000;2.0;3.0;1.8;2.1;
12/9/23;1:30:47;1140;22.7000;99.9000;2.0;3.0;1.0;2.1;
12/9/23;1:41:35;1141;22.6000;99.9000;2.0;3.0;0.7;2.5;
12/9/23;1:52:22;1142;22.6000;99.9000;2.0;3.0;1.4;1.7;
12/9/23;2:3:9;1143;22.7000;99.9000;3.0;4.0;0.8;1.9;
12/9/23;2:13:57;1144;22.7000;99.9000;3.0;4.0;1.0;1.3;
12/9/23;2:24:44;1145;22.7000;99.9000;2.0;3.0;1.1;4.8;
12/9/23;2:35:31;1146;22.4000;99.9000;5.0;6.0;2.8;4.5;
12/9/23;2:46:19;1147;22.6000;99.9000;3.0;4.0;1.3;3.5;
12/9/23;2:57:6;1148;22.8000;99.9000;2.0;3.0;1.1;2.0;
12/9/23;3:7:53;1149;22.9000;99.9000;2.0;3.0;1.5;3.1;
12/9/23;3:18:40;1150;23.0000;99.9000;2.0;3.0;1.0;1.9;
12/9/23;3:29:27;1151;23.1000;99.9000;2.0;3.0;1.8;5.9;
12/9/23;3:40:14;1152;23.1000;99.9000;1.0;2.0;1.4;3.5;
12/9/23;3:51:2;1153;23.0000;99.9000;2.0;3.0;1.2;3.9;
12/9/23;4:1:49;1154;23.0000;99.9000;2.0;3.0;1.3;2.1;
12/9/23;4:12:37;1155;23.1000;99.9000;3.0;4.0;1.0;1.4;
12/9/23;4:23:23;1156;22.9000;99.9000;3.0;4.0;2.9;6.5;
12/9/23;4:34:10;1157;22.9000;99.9000;2.0;3.0;2.3;6.8;
12/9/23;4:44:57;1158;22.9000;99.9000;3.0;4.0;3.3;11.1;
12/9/23;4:55:45;1159;22.8000;99.9000;4.0;5.0;3.0;11.0;
12/9/23;5:6:32;1160;22.8000;99.9000;2.0;3.0;3.0;10.8;
12/9/23;5:17:19;1161;22.7000;99.9000;3.0;4.0;2.7;8.8;
12/9/23;5:28:6;1162;22.5000;99.9000;2.0;3.0;1.9;5.0;
12/9/23;5:38:53;1163;22.4000;99.9000;2.0;3.0;1.8;5.9;
12/9/23;5:49:40;1164;22.5000;99.9000;2.0;3.0;3.3;15.9;
12/9/23;6:0:27;1165;22.5000;99.9000;2.0;3.0;2.0;5.4;
12/9/23;6:11:14;1166;22.4000;99.9000;5.0;6.0;2.2;4.3;
12/9/23;6:22:2;1167;22.7000;99.9000;3.0;4.0;2.1;5.8;
12/9/23;6:32:49;1168;22.9000;99.9000;3.0;4.0;1.8;2.6;
12/9/23;6:43:36;1169;23.4000;99.9000;4.0;5.0;2.3;11.0;
12/9/23;6:54:23;1170;23.4000;99.9000;3.0;4.0;2.1;4.2;
12/9/23;7:5:11;1171;23.5000;99.9000;2.0;3.0;1.6;2.8;
12/9/23;7:15:58;1172;23.9000;99.9000;3.0;4.0;2.3;8.1;
12/9/23;7:26:46;1173;24.2000;99.9000;2.0;3.0;1.4;2.7;
12/9/23;7:37:34;1174;24.7000;99.9000;1.0;2.0;2.3;4.6;
12/9/23;7:48:21;1175;25.3000;99.9000;1.0;2.0;2.2;8.4;
12/9/23;7:59:8;1176;25.4000;99.7000;1.0;2.0;5.1;10.6;
12/9/23;8:9:55;1177;25.3000;99.9000;1.0;2.0;2.8;6.8;
12/9/23;8:20:42;1178;25.5000;95.4000;1.0;2.0;2.7;7.5;
12/9/23;8:31:30;1179;26.0000;91.4000;1.0;2.0;2.2;8.0;
12/9/23;8:42:18;1180;26.8000;85.5000;1.0;2.0;2.4;5.8;
12/9/23;8:53:9;1181;28.1000;74.4000;0.0;1.0;1.8;7.6;
12/9/23;9:3:57;1182;31.9000;62.5000;1.0;2.0;2.3;4.9;
12/9/23;9:14:44;1183;31.8000;61.4000;1.0;2.0;2.9;7.0;
12/9/23;9:25:30;1184;32.5000;60.5000;1.0;2.0;2.4;8.4;
12/9/23;9:36:17;1185;31.3000;63.5000;1.0;2.0;2.3;7.4;
12/9/23;9:47:3;1186;32.2000;59.7000;0.0;1.0;2.7;7.9;
12/9/23;9:57:52;1187;31.0000;64.4000;1.0;2.0;2.8;12.4;
12/9/23;10:8:39;1188;32.1000;62.7000;0.0;1.0;2.2;9.1;
12/9/23;10:19:24;1189;32.7000;59.1000;1.0;2.0;1.8;6.0;
12/9/23;10:30:12;1190;29.8000;65.8000;0.0;1.0;1.7;5.0;
12/9/23;10:40:58;1191;30.7000;62.8000;1.0;2.0;3.6;12.4;
12/9/23;10:51:47;1192;31.0000;63.4000;0.0;1.0;1.8;6.2;
12/9/23;11:2:33;1193;32.2000;59.7000;0.0;1.0;3.3;11.7;
12/9/23;11:13:20;1194;31.8000;60.6000;1.0;2.0;1.9;3.3;
12/9/23;11:24:7;1195;31.5000;61.8000;1.0;2.0;1.5;1.6;
12/9/23;11:34:54;1196;31.3000;61.1000;1.0;2.0;2.1;4.9;
12/9/23;11:45:41;1197;31.3000;62.0000;0.0;1.0;2.3;3.0;
