falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp
lacuna,10,1,1,12951,212,12739,5,1.0,1.0,1.0,1.0,1.0,10608,0,0,182
lacuna,10,5,5,2591,43,2548,5,1.0,1.0,1.0,1.0,1.0,2118,0,0,37
lacuna,10,n/3,3,4317,71,4246,5,1.0,1.0,1.0,1.0,1.0,3534,0,0,61
lacuna,20,1,1,12941,212,12729,5,1.0,1.0,1.0,1.0,1.0,10598,0,0,182
lacuna,30,1,1,12931,212,12719,5,1.0,1.0,1.0,1.0,1.0,10593,0,0,182
lacuna,30,5,5,2587,43,2544,5,1.0,1.0,1.0,1.0,1.0,2118,0,0,37
lacuna,30,n/3,10,1294,18,1276,5,1.0,1.0,1.0,1.0,1.0,1060,0,0,15
lacuna,40,1,1,12921,212,12709,5,1.0,1.0,1.0,1.0,1.0,10583,0,0,182
lacuna,50,1,1,12911,212,12699,5,1.0,1.0,1.0,1.0,1.0,10573,0,0,182
lacuna,50,5,5,2583,43,2540,5,1.0,1.0,1.0,1.0,1.0,2113,0,0,37
lacuna,60,1,1,12901,212,12689,5,1.0,1.0,1.0,1.0,1.0,10568,0,0,182
lacuna,60,5,5,2581,43,2538,5,1.0,1.0,1.0,1.0,1.0,2113,0,0,37
lacuna,70,1,1,12891,212,12679,5,1.0,1.0,1.0,1.0,1.0,10558,0,0,182
lacuna,70,5,5,2579,43,2536,5,1.0,1.0,1.0,1.0,1.0,2108,0,0,37
lacuna,80,1,1,12881,212,12669,5,1.0,1.0,1.0,1.0,1.0,10548,0,0,182
lacuna,80,5,5,2577,43,2534,5,1.0,1.0,1.0,1.0,1.0,2108,0,0,37
lacuna,90,1,1,12871,212,12659,5,1.0,1.0,1.0,1.0,1.0,10543,0,0,182
lacuna,90,5,5,2575,43,2532,5,1.0,1.0,1.0,1.0,1.0,2108,0,0,37
lacuna,100,1,1,12861,212,12649,5,1.0,1.0,1.0,1.0,1.0,10533,0,0,182
lacuna,100,5,5,2573,43,2530,5,1.0,1.0,1.0,1.0,1.0,2103,0,0,37
lacuna,100,n/3,33,390,3,387,1,1.0,1.0,1.0,1.0,1.0,63,0,0,2
lacuna,40,5,5,2585,43,2542,5,0.9990697674418605,0.9995267392333176,0.9487179487179487,1.0,0.9736842105263158,2111,2,0,37
lacuna,20,5,5,2589,43,2546,5,0.9981438515081207,0.9592233876936427,0.9714285714285714,0.918918918918919,0.9444444444444444,2117,1,3,34
lacuna,40,n/3,13,994,16,978,5,0.9975757575757576,0.9636691914743702,0.9285714285714286,0.9285714285714286,0.9285714285714286,810,1,1,13
lacuna,20,n/3,6,2157,34,2123,5,0.9977715877437325,0.9479927363611513,0.9629629629629629,0.896551724137931,0.9285714285714286,1765,1,3,26
lacuna,70,n/3,23,561,8,553,3,0.996415770609319,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,273,0,1,5
lacuna,50,n/3,16,807,13,794,5,0.9955223880597015,0.9083321837494827,0.9,0.8181818181818182,0.8571428571428571,658,1,2,9
lacuna,60,n/3,20,646,10,636,3,0.9937694704049844,0.875,1.0,0.75,0.8571428571428571,313,0,2,6
lacuna,80,n/3,26,496,8,488,5,0.9951219512195122,0.9154290429042904,0.8333333333333334,0.8333333333333334,0.8333333333333334,403,1,1,5
lacuna,90,n/3,30,430,8,422,5,0.9859154929577465,0.9109360076408788,0.5555555555555556,0.8333333333333334,0.6666666666666666,345,4,1,5
oscilacao,10,1,1,12951,544,12407,5,0.9879518072289156,0.8999990197214986,0.8990147783251231,0.8039647577092511,0.8488372093023255,10295,41,89,365
oscilacao,10,5,5,2591,109,2482,5,0.9846867749419954,0.8922129227361786,0.8372093023255814,0.7912087912087912,0.8135593220338984,2050,14,19,72
oscilacao,10,n/3,3,4317,181,4136,5,0.9841446453407511,0.8967423910284514,0.8175675675675675,0.8013245033112583,0.8093645484949833,3417,27,30,121
oscilacao,20,n/3,6,2157,91,2066,5,0.9732590529247911,0.8477006215363889,0.675,0.7105263157894737,0.6923076923076923,1693,26,22,54
oscilacao,20,1,1,12941,544,12397,5,0.9752319109461967,0.8070255486130131,0.7467018469656992,0.6233480176211453,0.6794717887154862,10230,96,171,283
oscilacao,20,5,5,2589,109,2480,5,0.9740139211136891,0.813109613254962,0.7160493827160493,0.6373626373626373,0.6744186046511628,2041,23,33,58
oscilacao,30,5,5,2587,109,2478,5,0.9721577726218097,0.8278973933043701,0.6703296703296703,0.6703296703296703,0.6703296703296703,2034,30,30,61
oscilacao,30,1,1,12931,544,12387,5,0.9732714617169373,0.8112703367284613,0.7024390243902439,0.6343612334801763,0.6666666666666666,10199,122,166,288
oscilacao,40,1,1,12921,535,12386,5,0.970552717138876,0.7803791084069578,0.6788511749347258,0.5726872246696035,0.6212664277180406,10188,123,194,260
oscilacao,30,n/3,10,1294,54,1240,5,0.9646511627906976,0.7902912621359224,0.574468085106383,0.6,0.5869565217391305,1010,20,18,27
oscilacao,40,5,5,2585,108,2477,5,0.9651162790697675,0.7717205087287652,0.5930232558139535,0.5604395604395604,0.576271186440678,2024,35,40,51
oscilacao,60,5,5,2581,104,2477,5,0.9595348837209302,0.758303134456607,0.5212765957446809,0.5384615384615384,0.5297297297297298,2014,45,42,49
oscilacao,60,1,1,12901,515,12386,5,0.961953488372093,0.7358978209749135,0.556390977443609,0.4889867841409692,0.5205158264947245,10119,177,232,222
oscilacao,80,1,1,12881,514,12367,5,0.9592730661696179,0.7460980034741573,0.5189309576837416,0.513215859030837,0.5160575858250277,10060,216,221,233
oscilacao,70,5,5,2579,103,2476,5,0.9585081585081585,0.7472875226039783,0.5108695652173914,0.5164835164835165,0.5136612021857924,2009,45,44,47
oscilacao,100,n/3,33,390,16,374,5,0.96,0.706247129076711,0.5454545454545454,0.42857142857142855,0.48,306,5,8,6
oscilacao,50,5,5,2583,106,2477,5,0.9553488372093023,0.7298592616708207,0.4731182795698925,0.4835164835164835,0.4782608695652174,2010,49,47,44
oscilacao,90,1,1,12871,514,12357,5,0.9571095571095571,0.7197098498531214,0.49292452830188677,0.460352422907489,0.4760820045558087,10056,215,245,209
