falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,tn,fp,fn,tp,path_cm
lacuna,10,1,1,12951,212,12739,5,1.0,1.0,1.0,1.0,1.0,10608,0,0,182,resultados\MP25_1_20231008_0000_to_20240106_0000_lacuna_jan10_passo1_cm.png
oscilacao,10,1,1,12951,544,12407,5,0.9879518072289156,0.8999990197214986,0.8990147783251231,0.8039647577092511,0.8488372093023255,10295,41,89,365,resultados\MP25_1_20231008_0000_to_20240106_0000_oscilacao_jan10_passo1_cm.png
queda,50,5,5,2583,32,2551,5,0.9995348837209302,0.9821428571428572,1.0,0.9642857142857143,0.9818181818181818,2122,0,1,27,resultados\MP25_1_20231008_0000_to_20240106_0000_queda_jan50_passo5_cm.png
stuck,20,5,5,2589,141,2448,5,0.9160092807424594,0.7045864045864045,0.3236994219653179,0.4666666666666667,0.3822525597269625,1918,117,64,56,resultados\MP25_1_20231008_0000_to_20240106_0000_stuck_jan20_passo5_cm.png
stuck_at_zero,10,5,5,2591,166,2425,5,0.9252900232018562,0.908696428051161,0.45318352059925093,0.8897058823529411,0.6004962779156328,1873,146,15,121,resultados\MP25_1_20231008_0000_to_20240106_0000_stuck_at_zero_jan10_passo5_cm.png
