teste,modelo,falha,janela,passo_cfg,passo_real,amostras_treino,amostras_teste,positivos_treino,negativos_treino,positivos_teste,negativos_teste,eventos_reais_teste,eventos_detectados,diferenca_eventos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp,path_cm,path_eventos,variavel,rodada,cenario
sem_erro,catboost,oscilacao,20,20,20,237,237,93,144,0,237,0,3,3,0.9873417721518988,0.9873417721518988,0.0,0.0,0.0,0.9873417721477328,234,3,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_oscilacao_jan20_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_oscilacao_jan20_passo20_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,catboost,queda,90,70,70,67,67,28,39,0,67,0,6,6,0.8955223880597015,0.8955223880597015,0.0,0.0,0.0,0.8955223880463354,60,7,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_queda_jan90_passo70_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_catboost_queda_jan90_passo70_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,mlp,lacuna,20,15,15,316,316,90,226,0,316,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999968355,316,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_lacuna_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_lacuna_jan20_passo15_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,mlp,oscilacao,90,85,85,55,55,32,23,0,55,0,3,3,0.9454545454545454,0.9454545454545454,0.0,0.0,0.0,0.9454545454373554,52,3,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_oscilacao_jan90_passo85_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_oscilacao_jan90_passo85_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,mlp,queda,70,65,65,73,73,31,42,0,73,0,6,6,0.8356164383561644,0.8356164383561644,0.0,0.0,0.0,0.8356164383447175,61,12,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_queda_jan70_passo65_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_mlp_queda_jan70_passo65_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,random_forest,lacuna,20,5,5,947,947,261,686,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_lacuna_jan20_passo5_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,random_forest,oscilacao,20,15,15,316,316,129,187,0,316,0,2,2,0.9936708860759493,0.9936708860759493,0.0,0.0,0.0,0.9936708860728048,314,2,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_oscilacao_jan20_passo15_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_oscilacao_jan20_passo15_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,random_forest,queda,100,100,100,47,47,20,27,0,47,0,2,2,0.851063829787234,0.851063829787234,0.0,0.0,0.0,0.8510638297691263,40,7,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_queda_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_random_forest_queda_jan100_passo100_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,xgboost,lacuna,20,5,5,947,947,261,686,0,947,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9999999999989441,947,0,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_lacuna_jan20_passo5_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,xgboost,oscilacao,30,20,20,237,237,104,133,0,237,0,8,8,0.8987341772151899,0.8987341772151899,0.0,0.0,0.0,0.8987341772113978,213,24,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_oscilacao_jan30_passo20_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_oscilacao_jan30_passo20_eventos.png,"MP2,5_1",4,sem_erro
sem_erro,xgboost,queda,100,100,100,47,47,20,27,0,47,0,4,4,0.7872340425531915,0.7872340425531915,0.0,0.0,0.0,0.7872340425364419,37,10,0,0,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_queda_jan100_passo100_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\sem_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_sem_erro_xgboost_queda_jan100_passo100_eventos.png,"MP2,5_1",4,sem_erro
com_erro,catboost,lacuna,20,5,5,947,947,259,688,245,702,20,20,0,1.0,1.0,1.0,1.0,1.0,0.9999999999985755,702,0,0,245,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_cm.png,C:\PROJETO\dataError_IC-master\PROJETO MULTIVARIÁVEL\resultados\MP25_1\rodada_4\com_erro\MP25_1_20231007_0000_to_20231109_0000_rodada_4_com_erro_catboost_lacuna_jan20_passo5_eventos.png,"MP2,5_1",4,com_erro
